record_id,decisionNumber,decisionDate,decision_month,decision_year,domains,domain_register,authority_name
4734834,2а-388/2022,2022-07-15,2022-07,2022,['a.semenarnia-semena-7.life'],.life,Усть-Катавский городской суд - Челябинская область
4728407,2а-1886/2022,2022-07-15,2022-07,2022,['bel-cosmetics.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
4734564,б/н,2022-07-18,2022-07,2022,['kamensk-uralyskiy.pr-13.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4755431,2а-826/2022,2022-07-18,2022-07,2022,['sib.sibirki.su'],.su,Коркинский городской суд - Челябинская область
4743515,2а-836/2022,2022-07-18,2022-07,2022,['porostilki22.ru'],.ru,Коркинский городской суд - Челябинская область
4727374,б/н,2022-07-18,2022-07,2022,['dolinalubovi.org'],.org,Центральный районный суд г. Челябинска - Челябинская область
4735259,б/н,2022-07-18,2022-07,2022,['go.mobile.cheleba.vip'],.vip,Центральный районный суд г. Челябинска - Челябинская область
4647694,2а-2853/2022 ~ М-2600/202,2022-07-19,2022-07,2022,['i.ashoo.nl'],.nl,Копейский городской суд - Челябинская область
4887961,2а-3304/2022,2022-07-19,2022-07,2022,['ulyanovskhotx.com'],.com,Калининский районный суд г. Челябинска - Челябинская область
4734068,2а-1518/2022,2022-07-19,2022-07,2022,['darkstore.club'],.club,Озерский городской суд - Челябинская область
4734705,2а-1519/2022,2022-07-19,2022-07,2022,['antimigalki.space'],.space,Озерский городской суд - Челябинская область
4732198,2а-5198/2022,2022-07-20,2022-07,2022,['prostutytkiruc.org'],.org,Центральный районный суд г. Челябинска - Челябинская область
4682281,2а-457/2022,2022-07-20,2022-07,2022,['yughnouralysk.soos.su'],.su,Увельский районный суд - Челябинская область
4692483,2а-745/2022,2022-07-20,2022-07,2022,['ru.trovit.com'],.com,Верхнеуфалейский городской суд - Челябинская область
4700093,2А-2219/2022,2022-07-21,2022-07,2022,['zlatoust.sam-poehald.com'],.com,Златоустовский городской суд - Челябинская область
4747206,2а-853/2022,2022-07-21,2022-07,2022,['vam-blank.org'],.org,Коркинский городской суд - Челябинская область
4803393,2а-3063/2022,2022-07-21,2022-07,2022,['ebarus.top'],.top,Ленинский районный суд г. Челябинска - Челябинская область
