record_id,decisionNumber,decisionDate,authority_id,authority_name,status,domains,urls
5243278,2а-1881/2022,2022-12-26,782,Еманжелинский городской суд - Челябинская область,blocked,['realxputany.store'],['https://realxputany.store/dosug/putany-emanzhelinsk/?ysclid=lb1t9d2l9j213840287']
5243324,2а-3820/2022,2022-08-03,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['xox.rusoska.net'],[]
5243445,2a-794/2022,2022-01-27,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['yaporn.zone'],[]
5243491,2а-1588/2022,2022-12-15,1071,Верхнеуфалейский городской суд - Челябинская область,blocked,['kazan.fei116.biz'],[]
5243511,2а-6348/2022,2022-12-22,208,Копейский городской суд - Челябинская область,blocked,['escortxwomanvip.store'],['https://escortxwomanvip.store/region/shluhi-kopeysk/']
5243607,2а-1753/2022,2022-12-23,1367,Увельский районный суд - Челябинская область,blocked,['intimescortdosug.online'],[]
5248304,2а-7794/2022,2022-12-13,2306,Калининский районный суд г. Челябинска - Челябинская область,blocked,['m.bigbossss.com'],[]
5248579,2а-6356/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['kopeysk.petronchukov.ru'],[]
5248596,2а-1716/2022,2022-12-26,1367,Увельский районный суд - Челябинская область,blocked,['troick.damochki-vce.ru'],[]
5248714,2а-6351/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['e.doxy-chelyabinsk.net'],[]
5248728,2а-1716/2022,2022-12-26,1367,Увельский районный суд - Челябинская область,blocked,['sex1.prostitutkitroitskagirl.com'],[]
5248734,2а-1882/2022,2022-12-26,782,Еманжелинский городской суд - Челябинская область,blocked,['sex-rf.online'],['https://sex-rf.online/emanzhelinsk/']
5248842,2а-6352/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['escort-uslugi.website'],[]
5248861,2а-1880/2022,2022-12-26,782,Еманжелинский городской суд - Челябинская область,blocked,['putansoksearch.online'],['https://putansoksearch.online/region/prostitutki-emanzhelinsk/?ysclid=lb1sgj2o4i866073729']
5249005,2а-6360/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['kopeysk.devki.store'],[]
5249121,2а-6355/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['kopeysk1.sexznakom.com'],[]
5249263,2а-6353/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['intim.putana74.net'],[]
5249268,2а-6358/2022,2022-12-16,208,Копейский городской суд - Челябинская область,blocked,['kopeysk.zhiznprazdnik.ru'],[]
5249276,2а-1879/2022,2022-12-26,782,Еманжелинский городской суд - Челябинская область,blocked,['www.masterputanikx.online'],['https://www.masterputanikx.online/list/putany-emanzhelinsk/']
5250565,2а-6835/2022,2022-12-02,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['tits-porn.vip'],[]
5255075,2а-6348/2022,2022-11-24,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['chelyabinsk.bel-tabak.ru'],[]
5255195,2а-5782/2022,2022-11-23,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['sngobnal-zone.xyz'],[]
5255206,2а-7025/2022,2022-11-24,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['studentki.in'],[]
5255207,2а-6542/2022,2022-11-28,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['pornbaker.com'],['https://pornbaker.com/ru']
5255288,2а-6082/2022,2022-11-25,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['chebarkuly1.prostitutki.store'],['https://chebarkuly1.prostitutki.store/price_do-1500']
5255312,2а-6564/2022,2022-12-06,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['bbwtubesexy.com'],['http://bbwtubesexy.com/ru/']
5255316,2а-6640/2022,2022-11-29,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['justmeet.ru'],[]
5255391,2а-6082/2022,2022-11-25,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['vipintimbooke.ru'],['https://vipintimbooke.ru/intimblog/girls-chebarkul/']
5255479,М-8671/2022,2022-12-19,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex3.prostitutkiulanude2022.net'],[]
5255602,2а-6540/2022,2022-11-28,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['tokyoporns.com'],[]
5255609,2а-5722/2022,2022-11-15,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['sngobnal-zone.xyz'],['https://sngobnal-zone.xyz/threads/delaju-zalivy.10850/']
5255657,2а-5748/2022,2022-11-28,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['ghost-connect.xyz'],['http://ghost-connect.xyz/tags/zaliv-na-kartu-bez-predoplaty/']
5255754,2а-6541/2022,2022-11-28,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['www.tubev.pro'],[]
5255787,2а-5778/2022,2022-11-23,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['carding-forum.com'],['https://carding-forum.com/index.php']
5256016,2а-10283/2022,2022-12-23,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex3.prostitutkiorlaher.com'],[]
5256172,2а-10283/2022,2022-12-23,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex3.prostitutkiorlaxxx.info'],[]
5256511,2а-1400/2022,2022-12-09,2313,Чебаркульский городской суд - Челябинская область,blocked,['vuzinfo-d7.com'],['https://vuzinfo-d7.com']
5256646,2а-9081/2022,2022-11-17,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['b.love-best.online'],[]
5256810,2а-9077/2022,2022-11-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['slut.ekasex.online'],['https://slut.ekasex.online/']
5256814,2а-8950/2022,2022-11-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['ekt.prostitutki-ekaterinburg.ru'],[]
5256965,2а-9077/2022,2022-11-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['d.ekaterinburg-doxy.com'],['https://d.ekaterinburg-doxy.com/']
5262417,2а-6480/2022 ~ М-5542/2022,2022-11-24,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['1porn.cloud'],[]
5262447,2а-1865/2022,2022-12-26,782,Еманжелинский городской суд - Челябинская область,blocked,['xintimhelp.store'],['https://xintimhelp.store/sexy/city-emanzhelinsk/?ysclid=lb20u4b8ai954144189']
5262701,2а-3312/2022,2022-11-24,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['тутпорно.today'],[]
5262780,2а-3312/2022,2022-11-24,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['m.xn----ztbcbceder.cc'],[]
5262818,2а-3311/2022,2022-11-24,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['sex1.pornografiya.top'],[]
5262905,2а-8948/2022,2022-11-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex1.prostitutkivekaterinburgeonline.net'],[]
5262927,2а-1710/2022,2022-11-25,782,Еманжелинский городской суд - Челябинская область,blocked,['thebestputanix.online'],['https://thebestputanix.online/local/devki-emanzhelinsk/']
5262980,2а-8948/2022,2022-11-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['ekaterinburg5.sexbest24.com'],['https://ekaterinburg5.sexbest24.com/']
5263371,2а-6412/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['prelunt.mgst.su'],['https://prelunt.mgst.su/prastitutki-v-troicke-chelyabinskoj-oblasti/']
5263375,2а-6416/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['nizhnevartovsk.propiska-region.ru'],['http://nizhnevartovsk.propiska-region.ru/uslovia.php']
5263476,2а-6412/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['intim-dosug-doska.online'],['https://intim-dosug-doska.online/kishtim/index2.html']
5263480,2а-6416/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['serov.propiska-region.ru'],[]
5263587,2а-6416/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['murmansk.propiski-net.ru'],['https://murmansk.propiski-net.ru/price.php']
5263799,2а-6414/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['magnitogorsk.propiska-dom.ru'],['http://magnitogorsk.propiska-dom.ru/price.php']
5263904,2а-6414/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['chelyabinsk.propiski-net.ru'],[]
5264009,2а-6414/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['ekaterinburg.propiski-net.ru'],['https://ekaterinburg.propiski-net.ru/price.php']
5264112,2а-7054/2022,2022-12-12,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['supertop.fans'],['https://supertop.fans/']
5264817,2а-2426/2022,2022-11-18,790,Коркинский городской суд - Челябинская область,blocked,['intim-shelyabinsk.ru'],[]
5264820,2а-2428/2022,2022-11-17,790,Коркинский городской суд - Челябинская область,blocked,['my.love74.ru'],['https://my.love74.ru/']
5264895,2а-6407/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['satka1.sex-rach.com'],['https://satka1.sex-rach.com/mesto_na-domu']
5265123,2а-6415/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['habarovsk.propiska-legal.ru'],['http://habarovsk.propiska-legal.ru/price.php']
5265203,2а-6415/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['tyumen.propiski-net.ru'],['https://tyumen.propiski-net.ru/price.php']
